MS.Zoning,Lot.Frontage,Lot.Area,Street,Alley,Land.Contour,Lot.Config,Neighborhood,Condition.1,Condition.2,Bldg.Type,House.Style,Overall.Qual,Year.Built,Year.Remod.Add,Roof.Style,Roof.Matl,Exterior.1st,Exterior.2nd,Mas.Vnr.Type,Mas.Vnr.Area,Exter.Qual,Foundation,Bsmt.Qual,Bsmt.Cond,Bsmt.Exposure,BsmtFin.Type.1,BsmtFin.SF.1,Total.Bsmt.SF,Heating,Heating.QC,Central.Air,Electrical,X1st.Flr.SF,X2nd.Flr.SF,Gr.Liv.Area,Bsmt.Full.Bath,Full.Bath,Half.Bath,Kitchen.Qual,TotRms.AbvGrd,Functional,Fireplaces,Fireplace.Qu,Garage.Type,Garage.Finish,Garage.Cars,Garage.Area,Garage.Qual,Garage.Cond,Paved.Drive,Wood.Deck.SF,Open.Porch.SF,Misc.Feature,Sale.Type,Sale.Condition,SalePrice
RL,55,7642,Pave,NA,Lvl,Corner,Crawfor,Norm,Norm,1Fam,1.5Fin,7,1918,1998,Gable,CompShg,Wd Sdng,Wd Sdng,NA,0,3,BrkTil,3,3,1,1,0,912,GasA,3,1,4,912,514,1426,0,1,1,3,7,Typ,1,4,Detchd,1,1,216,3,3,Y,0,240,NA,WD ,Normal,189950
RL,0,28698,Pave,NA,Low,CulDSac,ClearCr,Norm,Norm,1Fam,2Story,5,1967,1967,Flat,Tar&Grv,Plywood,Plywood,NA,0,2,PConc,3,4,4,2,249,1013,GasA,2,1,4,1160,966,2126,0,2,1,2,7,Min2,0,0,Attchd,3,2,538,3,3,Y,486,0,NA,WD ,Abnorml,185000
RL,51,9839,Pave,NA,Lvl,Inside,SWISU,Feedr,Norm,1Fam,1.5Fin,5,1931,1950,Gable,CompShg,VinylSd,VinylSd,NA,0,2,PConc,3,2,1,1,0,894,GasA,4,1,4,894,772,1666,1,1,0,2,7,Typ,1,4,NA,0,0,0,0,0,N,0,156,NA,WD ,Normal,100000
RL,42,10385,Pave,NA,Lvl,CulDSac,CollgCr,Norm,Norm,1Fam,SLvl,6,1978,1978,Gable,CompShg,HdBoard,HdBoard,BrkFace,123,2,CBlock,3,4,3,5,595,995,GasA,2,1,4,1282,0,1282,0,2,0,2,6,Typ,0,0,Detchd,1,3,672,2,3,Y,386,0,NA,WD ,Normal,174000
RL,75,8250,Pave,NA,Lvl,Inside,Nonemes,Norm,Norm,1Fam,1Story,6,1964,1964,Hip,CompShg,HdBoard,HdBoard,Stone,260,2,CBlock,4,3,1,3,787,1092,GasA,4,1,4,1092,0,1092,1,1,0,2,6,Typ,0,0,Attchd,2,2,504,3,4,Y,0,0,NA,WD ,Normal,145000
RM,52,8516,Pave,NA,Lvl,Inside,OldTown,Norm,Norm,1Fam,1Story,4,1958,2006,Gable,CompShg,MetalSd,MetalSd,NA,0,2,CBlock,3,3,1,1,0,869,GasA,2,1,4,1093,0,1093,0,1,0,2,5,Typ,0,0,Detchd,1,1,308,3,3,Y,0,0,NA,WD ,Normal,115500
RM,24,2522,Pave,NA,Lvl,Inside,Edwards,Norm,Norm,Twnhs,2Story,7,2004,2004,Gable,CompShg,VinylSd,VinylSd,Stone,50,3,PConc,4,3,1,1,0,970,GasA,4,1,4,970,739,1709,0,2,0,3,7,Maj1,0,0,Detchd,1,2,380,3,3,Y,0,40,NA,WD ,Normal,130000
RL,59,17169,Pave,NA,Lvl,CulDSac,NridgHt,Norm,Norm,1Fam,1Story,10,2007,2007,Hip,CompShg,CemntBd,CmentBd,BrkFace,970,4,PConc,5,3,3,6,1684,2320,GasA,4,1,4,2290,0,2290,2,2,1,4,7,Typ,1,4,Attchd,3,3,1174,3,3,Y,192,30,NA,New,Partial,500067
RL,70,9100,Pave,NA,Lvl,Inside,CollgCr,Norm,Norm,1Fam,1Story,7,2004,2005,Hip,CompShg,VinylSd,VinylSd,NA,0,3,PConc,4,3,1,6,24,1860,GasA,4,1,4,1836,0,1836,0,2,0,3,8,Typ,1,4,Attchd,3,2,484,3,3,Y,120,33,NA,WD ,Normal,216837
RL,79,6221,Pave,NA,Lvl,Inside,Crawfor,Norm,Norm,2fmCon,1.5Fin,5,1941,1950,Gable,CompShg,VinylSd,VinylSd,NA,0,2,CBlock,3,2,1,2,533,728,GasA,4,1,4,760,595,1355,0,2,0,2,5,Typ,0,0,Detchd,1,2,528,3,3,Y,0,0,NA,WD ,Normal,140000
RL,70,10512,Pave,NA,Lvl,Inside,Edwards,Norm,Norm,1Fam,1.5Fin,6,1954,1954,Gable,CompShg,Wd Sdng,Wd Sdng,NA,0,2,CBlock,3,3,1,4,491,988,GasA,4,1,4,988,638,1626,0,1,1,3,6,Typ,0,0,Attchd,1,1,332,3,3,Y,366,0,NA,WD ,Normal,154000
RL,85,14331,Pave,NA,Lvl,Inside,Timber,Norm,Norm,1Fam,1Story,8,2002,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,630,3,PConc,5,3,4,6,1274,1800,GasA,4,1,4,1800,0,1800,1,2,0,3,7,Typ,1,4,Attchd,3,3,765,3,3,Y,270,78,NA,WD ,Normal,312500
RL,70,9135,Pave,NA,Lvl,Inside,CollgCr,Norm,Norm,1Fam,1Story,7,2002,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,113,3,PConc,4,3,3,6,810,1536,GasA,4,1,4,1536,0,1536,1,2,0,3,7,Typ,0,0,Attchd,2,2,532,3,3,Y,192,74,NA,WD ,Normal,214000
RL,65,9345,Pave,NA,Lvl,Inside,CollgCr,Norm,Norm,1Fam,1Story,8,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,156,3,PConc,4,3,3,1,0,1615,GasA,4,1,4,1615,0,1615,0,2,0,3,7,Typ,1,4,Attchd,2,3,864,3,3,Y,168,30,NA,WD ,Normal,248500
RL,0,8339,Pave,NA,Lvl,Inside,Nonemes,Norm,Norm,1Fam,1Story,5,1959,1959,Gable,CompShg,MetalSd,MetalSd,NA,0,2,Slab,0,0,0,0,0,0,GasA,2,1,4,882,0,882,0,1,0,2,5,Typ,0,0,Attchd,2,1,294,3,3,Y,0,0,Shed,WD ,Normal,106500
RL,58,17104,Pave,NA,Lvl,Inside,Gilbert,Norm,Norm,1Fam,2Story,7,2006,2006,Gable,CompShg,VinylSd,VinylSd,NA,0,3,PConc,4,4,3,6,554,654,GasA,4,1,4,664,832,1496,1,2,1,3,7,Typ,1,4,Attchd,2,2,426,3,3,Y,100,24,NA,New,Partial,179665
RL,83,10005,Pave,NA,Lvl,Inside,ClearCr,Norm,Norm,1Fam,2Story,7,1977,1977,Hip,CompShg,Plywood,Plywood,BrkFace,299,2,CBlock,4,3,1,4,392,1160,GasA,4,1,4,1156,866,2022,0,2,1,2,8,Typ,1,3,Attchd,3,2,505,3,3,Y,288,117,NA,WD ,Normal,192000
RL,84,9660,Pave,NA,Lvl,Inside,NoRidge,Norm,Norm,1Fam,2Story,8,1998,1998,Gable,CompShg,VinylSd,VinylSd,BrkFace,242,3,PConc,4,3,1,6,791,1044,GasA,4,1,4,1079,897,1976,1,2,1,3,7,Typ,1,5,Attchd,3,3,885,3,3,Y,210,31,NA,WD ,Normal,286000
RL,65,6500,Pave,NA,Lvl,Inside,Edwards,Norm,Norm,1Fam,1Story,6,1976,1976,Hip,CompShg,HdBoard,Plywood,BrkFace,84,2,CBlock,3,5,1,4,1033,1127,GasA,2,1,4,1127,0,1127,0,1,1,2,6,Typ,1,1,Detchd,1,2,480,3,3,Y,0,0,NA,WD ,Normal,135000
RL,100,9670,Pave,NA,HLS,Inside,Crawfor,Norm,Norm,1Fam,2Story,8,1935,1950,Gable,CompShg,BrkFace,Stucco,Stone,40,2,PConc,3,2,1,2,210,608,GasA,2,1,4,983,890,1873,0,1,1,2,9,Typ,2,4,Detchd,3,2,786,2,3,Y,0,0,NA,WD ,Alloca,257076
RL,0,10960,Pave,NA,Lvl,Inside,NWAmes,Norm,Norm,1Fam,1Story,6,1984,1984,Hip,CompShg,HdBoard,HdBoard,NA,0,2,CBlock,4,3,1,6,256,1284,GasA,2,1,4,1284,0,1284,1,2,0,2,5,Typ,0,0,Attchd,1,2,480,3,3,Y,0,0,NA,COD,Abnorml,174000
RM,60,10440,Pave,Grvl,Lvl,Corner,OldTown,Norm,Norm,1Fam,2Story,5,1910,1981,Gable,CompShg,Wd Sdng,Wd Sdng,NA,0,2,PConc,3,3,1,1,0,440,GasA,3,1,4,682,548,1230,0,1,1,2,5,Typ,0,0,Detchd,1,2,440,3,3,Y,74,0,NA,WD ,Normal,110000
RL,80,8800,Pave,NA,Lvl,Inside,Nonemes,RRAn,Norm,2fmCon,1Story,6,1965,2000,Hip,CompShg,BrkFace,VinylSd,NA,0,2,PConc,3,3,2,5,901,1187,GasA,4,1,4,1565,0,1565,1,2,0,3,7,Min1,2,3,Attchd,2,1,299,3,3,Y,200,25,Shed,WD ,Abnorml,185900
RL,0,14585,Pave,NA,Lvl,CulDSac,Nonemes,Norm,Norm,1Fam,1Story,6,1960,1987,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,85,2,CBlock,3,3,1,4,594,1144,GasA,4,1,4,1429,0,1429,0,1,0,3,7,Typ,2,4,Attchd,1,2,572,3,3,Y,216,110,NA,WD ,Normal,181900
RL,63,8375,Pave,NA,Lvl,Corner,Sawyer,Norm,Norm,1Fam,1.5Fin,5,1941,1973,Gable,CompShg,Wd Sdng,Wd Sdng,NA,0,2,BrkTil,3,3,1,5,336,576,GasA,3,1,4,864,486,1350,1,1,1,3,6,Min1,0,0,2Types,1,3,627,3,3,N,0,0,NA,WD ,Normal,152400
RL,89,11645,Pave,NA,Lvl,Corner,CollgCr,Norm,Norm,1Fam,2Story,7,2004,2004,Gable,CompShg,VinylSd,VinylSd,NA,0,3,PConc,4,3,1,1,0,860,GasA,4,1,4,860,860,1720,0,2,1,3,7,Typ,0,0,Attchd,2,2,565,3,3,Y,0,70,NA,WD ,Normal,196500
RM,50,6130,Pave,NA,Lvl,Inside,BrkSide,Norm,Norm,1Fam,1.5Unf,5,1924,1950,Gable,CompShg,MetalSd,MetalSd,NA,0,2,BrkTil,3,3,1,5,784,784,GasA,3,1,4,784,0,784,1,1,0,3,5,Typ,0,0,NA,0,0,0,0,0,Y,0,0,NA,WD ,Normal,109500
FV,112,12217,Pave,NA,Lvl,Inside,Somerst,Norm,Norm,1Fam,2Story,8,2007,2007,Hip,CompShg,WdShing,Wd Shng,NA,0,3,PConc,5,3,3,6,745,955,GasA,4,1,4,955,925,1880,1,2,1,4,8,Typ,1,4,Attchd,3,3,880,3,3,Y,168,127,NA,New,Partial,310013
FV,75,9803,Pave,NA,Lvl,Inside,Somerst,Norm,Norm,1Fam,2Story,7,2005,2005,Gable,CompShg,VinylSd,VinylSd,NA,0,3,PConc,4,3,1,6,400,866,GasA,3,1,4,866,902,1768,0,2,1,3,7,Typ,0,0,Attchd,2,2,603,3,3,Y,0,108,NA,WD ,Normal,226700
RL,85,13175,Pave,NA,Lvl,Inside,NWAmes,Norm,Norm,1Fam,1Story,6,1978,1988,Gable,CompShg,Plywood,Plywood,Stone,119,2,CBlock,4,3,1,5,790,1542,GasA,2,1,4,2073,0,2073,1,2,0,2,7,Min1,2,3,Attchd,1,2,500,3,3,Y,349,0,NA,WD ,Normal,210000
RL,75,9000,Pave,NA,Lvl,Corner,Sawyer,Norm,Norm,1Fam,1Story,5,1966,1966,Gable,CompShg,Plywood,Plywood,NA,0,2,CBlock,3,3,1,5,773,1059,GasA,3,1,4,1059,0,1059,1,1,0,2,6,Typ,0,0,Attchd,3,1,286,3,3,Y,0,88,NA,WD ,Abnorml,142500
RM,60,6600,Pave,NA,Lvl,Corner,OldTown,Norm,Norm,1Fam,2Story,5,1892,1965,Gable,CompShg,Wd Sdng,Wd Sdng,NA,0,2,Stone,3,3,1,1,0,994,GasA,2,0,4,1378,994,2372,0,2,0,2,11,Min2,0,0,Attchd,2,1,432,3,3,Y,0,287,NA,WD ,Normal,107500
RL,38,4740,Pave,NA,Lvl,Inside,StoneBr,Norm,Norm,TwnhsE,1Story,8,1988,1988,Gable,CompShg,CemntBd,CmentBd,NA,0,3,CBlock,4,3,4,6,248,1166,GasA,3,1,4,1179,0,1179,1,2,0,2,5,Typ,0,0,Attchd,2,2,480,3,3,Y,0,108,NA,WD ,Normal,182000
FV,75,7500,Pave,NA,Lvl,Inside,Somerst,Norm,Norm,1Fam,1Story,8,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,238,3,PConc,4,3,1,6,24,1372,GasA,4,1,4,1448,0,1448,0,2,0,3,6,Typ,1,4,Attchd,2,2,692,3,3,Y,0,140,NA,WD ,Normal,238500
RL,77,9510,Pave,NA,Lvl,Inside,Nonemes,Norm,Norm,1Fam,1Story,6,1962,1985,Gable,CompShg,HdBoard,HdBoard,BrkCmn,161,2,CBlock,3,3,1,5,701,1135,GasA,4,1,4,1207,0,1207,0,1,1,2,6,Typ,0,0,Attchd,2,1,264,3,3,Y,0,240,NA,WD ,Normal,147000
RL,60,11100,Pave,NA,Low,Inside,Edwards,Norm,Norm,1Fam,1Story,4,1946,2006,Gable,CompShg,MetalSd,MetalSd,NA,0,2,CBlock,0,0,0,0,0,0,GasA,4,1,4,930,0,930,0,1,0,3,6,Typ,0,0,Detchd,1,1,308,3,3,Y,0,0,NA,WD ,Abnorml,84900
RL,60,10914,Pave,Grvl,Lvl,Inside,Nonemes,Artery,Norm,1Fam,1Story,3,1929,1950,Hip,CompShg,Wd Sdng,Wd Sdng,NA,0,2,CBlock,3,3,2,1,0,715,GasA,1,0,1,715,0,715,0,1,0,2,4,Typ,0,0,Detchd,1,2,660,2,3,N,0,0,NA,WD ,Normal,68000
RL,174,25419,Pave,NA,Lvl,Corner,Nonemes,Artery,Norm,1Fam,2Story,8,1918,1990,Gable,CompShg,Stucco,Stucco,NA,0,3,PConc,3,3,1,6,1036,1360,GasA,3,1,4,1360,1360,3112,1,2,0,3,8,Typ,1,5,Detchd,1,2,795,3,3,Y,0,16,NA,WD ,Abnorml,235000
RL,39,3869,Pave,NA,Lvl,Inside,Edwards,Norm,Norm,TwnhsE,1Story,5,1984,1984,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,149,3,CBlock,3,3,1,2,283,1038,GasA,3,1,4,1038,0,1038,0,2,0,2,5,Typ,0,0,Attchd,2,1,264,3,3,Y,0,105,NA,WD ,Normal,130000
RL,0,10784,Pave,NA,Lvl,FR2,Gilbert,Norm,Norm,1Fam,SLvl,7,1991,1992,Gable,CompShg,HdBoard,HdBoard,BrkFace,76,3,PConc,4,3,1,1,0,384,GasA,3,1,4,802,670,1472,0,2,1,3,7,Typ,1,3,Attchd,2,2,402,3,3,Y,164,0,NA,WD ,Normal,160000
RL,87,10037,Pave,NA,Lvl,Corner,Somerst,Feedr,Norm,1Fam,1Story,8,2006,2007,Hip,CompShg,VinylSd,VinylSd,NA,0,3,PConc,5,3,1,6,666,1460,GasA,4,1,4,1460,0,1460,0,2,0,3,6,Typ,1,4,Attchd,3,2,480,3,3,Y,0,20,NA,WD ,Normal,247000
RL,70,8749,Pave,NA,Lvl,Inside,CollgCr,Norm,Norm,1Fam,1Story,7,2002,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,100,3,PConc,4,3,1,1,0,1459,GasA,4,1,4,1459,0,1459,0,2,0,3,6,Typ,1,4,Attchd,2,2,527,3,3,Y,192,39,NA,WD ,Normal,192000
RL,125,10000,Pave,NA,Lvl,Corner,Nonemes,Norm,Norm,1Fam,SLvl,5,1956,1956,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,272,2,CBlock,3,3,3,4,678,1058,GasA,4,1,4,1370,0,1370,1,1,0,2,6,Typ,1,3,Basment,2,1,300,3,3,Y,191,0,NA,WD ,Normal,148000
RL,44,5306,Pave,NA,Lvl,Inside,StoneBr,Norm,Norm,TwnhsE,2Story,7,1987,1987,Gable,CompShg,HdBoard,HdBoard,NA,0,3,PConc,4,4,1,6,495,1064,GasA,3,1,4,1064,703,1767,1,2,0,3,5,Typ,1,3,Attchd,2,2,504,4,3,Y,441,35,NA,WD ,Normal,239000
RL,81,10530,Pave,NA,Lvl,Inside,NWAmes,Norm,Norm,1Fam,SLvl,6,1975,2000,Gable,CompShg,Plywood,Plywood,BrkFace,248,2,CBlock,3,2,1,5,548,675,GasA,2,1,4,1109,766,1875,0,3,0,3,8,Typ,1,3,Attchd,2,2,485,3,3,Y,48,28,NA,WD ,Normal,184500
RL,80,9200,Pave,NA,Lvl,Inside,Nonemes,Norm,Norm,1Fam,1Story,6,1965,1965,Gable,CompShg,HdBoard,HdBoard,NA,0,2,CBlock,3,3,1,3,892,1136,GasA,2,1,4,1136,0,1136,1,1,0,2,5,Typ,1,4,Attchd,2,1,384,3,3,Y,426,0,NA,WD ,Normal,140000
RL,86,11194,Pave,NA,Lvl,Inside,Somerst,PosN,Norm,1Fam,1Story,8,2008,2008,Gable,CompShg,VinylSd,VinylSd,Stone,240,3,PConc,4,3,2,1,0,1696,GasA,4,1,4,1696,0,1696,0,2,0,3,7,Typ,0,0,Attchd,2,3,972,3,3,Y,120,56,NA,WD ,Normal,275000
RL,79,10208,Pave,NA,Lvl,Inside,NoRidge,Norm,Norm,1Fam,2Story,7,1996,1997,Gable,CompShg,VinylSd,VinylSd,BrkFace,921,3,PConc,4,3,1,1,0,1264,GasA,4,1,4,1277,1067,2344,0,2,1,3,7,Typ,1,3,Attchd,2,3,889,3,3,Y,220,0,NA,WD ,Normal,265000
RL,79,9462,Pave,NA,Lvl,Inside,Nonemes,Norm,Norm,1Fam,2Story,5,1949,1973,Gable,CompShg,Wd Sdng,Wd Sdng,NA,0,2,CBlock,3,3,1,1,0,704,GasA,3,1,3,1024,704,1728,0,1,1,2,7,Min1,1,4,Attchd,1,1,234,3,3,Y,245,60,NA,WD ,Normal,137000
RL,97,11800,Pave,NA,Bnk,Inside,CollgCr,Norm,Norm,1Fam,1Story,5,1974,1974,Gable,CompShg,HdBoard,HdBoard,NA,0,2,CBlock,4,3,3,4,663,864,GasA,2,1,4,894,0,894,0,1,0,2,5,Typ,0,0,Attchd,1,2,440,3,3,Y,0,0,NA,WD ,Family,131000
I (all),0,56600,Pave,NA,Low,Inside,IDOTRR,Norm,Norm,1Fam,2.5Unf,5,1900,1950,Hip,CompShg,Wd Sdng,Wd Sdng,NA,0,2,BrkTil,3,3,1,1,0,686,GasA,4,1,4,1150,686,1836,0,2,0,2,7,Maj1,0,0,Detchd,1,1,288,3,2,N,0,0,NA,WD ,Normal,103000
RM,52,3068,Pave,Grvl,Lvl,Inside,OldTown,Norm,Norm,1Fam,2Story,6,1920,1993,Gable,CompShg,VinylSd,VinylSd,NA,0,2,BrkTil,3,3,1,1,0,662,GasA,4,1,4,662,662,1324,0,1,0,2,6,Typ,0,0,Detchd,1,1,180,3,3,Y,0,0,NA,WD ,Normal,122000
RL,93,12090,Pave,NA,Lvl,Corner,NoRidge,Norm,Norm,1Fam,2Story,8,1998,1998,Hip,CompShg,VinylSd,VinylSd,BrkFace,650,3,PConc,4,3,1,1,0,1141,GasA,3,1,4,1165,1098,2263,0,2,1,3,10,Typ,1,3,BuiltIn,3,2,420,3,3,Y,144,123,NA,WD ,Abnorml,258000
RL,60,12144,Pave,NA,Lvl,Inside,Nonemes,Norm,Norm,1Fam,1.5Fin,4,1950,1950,Gable,CompShg,BrkComm,Wd Sdng,NA,0,2,CBlock,3,3,1,3,455,910,GasA,3,1,4,910,611,1521,0,1,1,3,6,Min2,0,0,Detchd,1,1,597,2,3,Y,199,0,NA,WD ,Normal,147500
RL,60,10434,Pave,NA,Lvl,Inside,Nonemes,Norm,Norm,1Fam,1Story,4,1955,1955,Gable,CompShg,Plywood,Plywood,NA,0,2,CBlock,3,3,1,1,0,1005,GasA,2,1,4,1005,0,1005,0,1,0,1,5,Typ,1,3,Detchd,1,2,672,2,2,Y,0,0,NA,WD ,Normal,115000
FV,84,11096,Pave,NA,Lvl,Inside,Somerst,Norm,Norm,1Fam,1Story,8,2006,2006,Gable,CompShg,VinylSd,VinylSd,NA,0,3,PConc,4,3,3,6,24,1656,GasA,4,1,4,1656,0,1656,0,2,0,3,7,Typ,0,0,Attchd,2,3,826,3,3,Y,0,146,NA,WD ,Normal,249700
RM,52,6240,Pave,NA,Lvl,Inside,BrkSide,Norm,Norm,1Fam,1.5Fin,5,1936,1980,Gable,CompShg,VinylSd,VinylSd,NA,0,2,CBlock,3,2,1,3,276,528,GasA,3,1,4,548,492,1040,0,1,0,2,5,Typ,0,0,Detchd,3,2,624,3,3,P,306,0,NA,WD ,Normal,123900
RL,75,9750,Pave,NA,Lvl,Inside,CollgCr,Norm,Norm,1Fam,1Story,7,2004,2004,Gable,CompShg,VinylSd,VinylSd,Stone,50,3,PConc,4,3,2,6,24,1445,GasA,4,1,4,1445,0,1445,0,2,0,3,6,Typ,0,0,Attchd,1,2,470,3,3,Y,0,35,NA,WD ,Normal,186500
RL,0,11027,Pave,NA,Lvl,Inside,Nonemes,Norm,Norm,1Fam,1Story,6,1954,1954,Hip,CompShg,Wd Sdng,Wd Sdng,Stone,28,2,CBlock,3,3,1,4,468,1178,GasA,3,1,4,1293,0,1293,1,2,0,2,5,Typ,0,0,Attchd,2,2,452,3,3,Y,280,0,NA,WD ,Normal,149900
RL,118,13704,Pave,NA,Lvl,Corner,CollgCr,Norm,Norm,1Fam,1Story,7,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,150,3,PConc,4,3,1,1,0,1541,GasA,4,1,4,1541,0,1541,0,2,0,3,6,Typ,1,3,Attchd,2,3,843,3,3,Y,468,81,NA,WD ,Normal,205000
RL,50,7689,Pave,NA,Lvl,Inside,Mitchel,Norm,Norm,1Fam,SFoyer,5,1972,1972,Gable,CompShg,MetalSd,MetalSd,NA,0,2,CBlock,4,3,3,6,720,796,GasA,3,1,4,796,0,796,0,1,0,2,4,Typ,0,0,Detchd,1,1,336,3,3,Y,138,0,NA,WD ,Normal,131900
FV,102,11143,Pave,NA,Lvl,Corner,Somerst,Norm,Norm,1Fam,2Story,8,2004,2005,Gable,CompShg,CemntBd,CmentBd,NA,0,3,PConc,4,3,1,1,0,1580,GasA,4,1,4,1580,886,2466,0,3,0,3,8,Typ,1,4,Attchd,2,2,610,3,3,Y,159,214,NA,WD ,Normal,340000
FV,50,5119,Pave,NA,Lvl,CulDSac,Somerst,Norm,Norm,TwnhsE,1Story,9,1999,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,60,3,PConc,5,3,3,6,1238,1698,GasA,4,1,4,1709,0,1709,1,2,0,3,5,Typ,1,3,Attchd,3,2,506,3,3,Y,97,65,NA,CWD,Abnorml,328900
RL,0,9819,Pave,NA,Lvl,Inside,Mitchel,Norm,Norm,1Fam,1Story,6,1977,1977,Gable,CompShg,Plywood,ImStucc,NA,0,2,PConc,3,3,4,5,1567,1567,GasA,2,1,4,1567,0,1567,1,2,0,3,5,Typ,2,3,Attchd,2,2,714,3,3,Y,264,32,NA,WD ,Normal,196000
RL,78,10140,Pave,NA,Lvl,Inside,NWAmes,Norm,Norm,1Fam,1Story,5,1975,1975,Gable,CompShg,HdBoard,HdBoard,NA,0,2,CBlock,4,3,1,5,788,1056,GasA,4,1,4,1074,0,1074,1,1,1,2,6,Typ,0,0,Attchd,2,2,495,3,3,Y,0,88,NA,WD ,Normal,153500
